"YEAR","SAMPLE","SERIAL","HHWT","CLUSTER","CITY","STRATA","GQ","SAMPRULE","STREET","PERNUM","PERWT","RACE","RACED","MBPL","MBPLD","FBPL","FBPLD","PRESGL","OCCSTR"
1900,190001,651850,19.64,1900006518501,5530,134924100000,1,1,"RALEIGH                                                                           ",3,19.64,1,100,25,2500,17,1700,29.0,"LABORER PAINTING CO                                                                                   "
1900,190001,651851,19.64,1900006518511,5530,134924100000,6,5,"SAVIER ST                                                                         ",1,19.64,1,100,426,42600,426,42600,46.6,"HARNESSMAKER                                                                                          "
1900,190001,651852,19.64,1900006518521,5530,134924100000,6,5,"SAVIER ST                                                                         ",1,19.64,1,100,410,41000,410,41000,28.0,"STREET CAR CONDUCTOR                                                                                  "
1900,190001,651853,19.64,1900006518531,5530,134924100000,6,5,"SAVIER ST                                                                         ",1,19.64,1,100,411,41100,411,41100,28.0,"STREET CAR CONDUCTOR                                                                                  "
1900,190001,651853,19.64,1900006518531,5530,134924100000,6,5,"SAVIER ST                                                                         ",2,19.64,1,100,39,3900,21,2100,28.0,"MOTORMAN                                                                                              "
1900,190001,651853,19.64,1900006518531,5530,134924100000,6,5,"SAVIER ST                                                                         ",3,19.64,1,100,36,3600,39,3900,28.0,"ST CAR CONDUCTOR                                                                                      "
1900,190001,651854,19.64,1900006518541,5530,134924100000,1,1,"SAVIER ST                                                                         ",1,19.64,1,100,411,41100,453,45300,35.0,"ENGINEER PLANING M                                                                                    "
1900,190001,651854,19.64,1900006518541,5530,134924100000,1,1,"SAVIER ST                                                                         ",2,19.64,1,100,55,5500,426,42600,0.0,"                                                                                                      "
1900,190001,651855,19.64,1900006518551,5530,134924100000,1,1,"SAVIER ST                                                                         ",1,19.64,1,100,405,40500,405,40500,17.5,"LABORER SAW MILL                                                                                      "
1900,190001,651855,19.64,1900006518551,5530,134924100000,1,1,"SAVIER ST                                                                         ",2,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651855,19.64,1900006518551,5530,134924100000,1,1,"SAVIER ST                                                                         ",3,19.64,1,100,6,600,405,40500,0.0,"                                                                                                      "
1900,190001,651856,19.64,1900006518561,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,33.2,"PLASTERER                                                                                             "
1900,190001,651856,19.64,1900006518561,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651856,19.64,1900006518561,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,405,40500,405,40500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651857,19.64,1900006518571,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,29.8,"PAINTER HOUSE                                                                                         "
1900,190001,651857,19.64,1900006518571,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651858,19.64,1900006518581,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,17.5,"DAY LABORER                                                                                           "
1900,190001,651858,19.64,1900006518581,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,17.6,"WASHERWOMAN                                                                                           "
1900,190001,651858,19.64,1900006518581,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,405,40500,405,40500,32.8,"CLERK STATIONERY STORE                                                                                "
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,38.0,"??                                                                                                    "
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,453,45300,453,45300,0.0,"                                                                                                      "
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,32,3200,150,15000,0.0,"AT SCHOOL                                                                                             "
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,1,"THURMAN ST                                                                        ",4,19.64,1,100,32,3200,150,15000,0.0,"AT SCHOOL                                                                                             "
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,1,"THURMAN ST                                                                        ",5,19.64,1,100,32,3200,150,15000,0.0,"                                                                                                      "
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,17.5,"LABORER SAW MILL                                                                                      "
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,405,40500,405,40500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,1,"THURMAN ST                                                                        ",4,19.64,1,100,405,40500,405,40500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,1,"THURMAN ST                                                                        ",5,19.64,1,100,405,40500,405,40500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,1,"THURMAN ST                                                                        ",6,19.64,1,100,405,40500,405,40500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,39,3900,39,3900,38.0,"PRINTER JOB                                                                                           "
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,50,5000,50,5000,0.0,"                                                                                                      "
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,50,5000,39,3900,32.5,"FIREMAN                                                                                               "
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,1,"THURMAN ST                                                                        ",4,19.64,1,100,410,41000,410,41000,0.0,"                                                                                                      "
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,1,"THURMAN ST                                                                        ",5,19.64,1,100,17,1700,55,5500,0.0,"                                                                                                      "
1900,190001,651862,19.64,1900006518621,5530,134924100000,1,1,"SAVIER ST                                                                         ",1,19.64,1,100,39,3900,39,3900,22.1,"BOARDING HOUSE                                                                                        "
1900,190001,651862,19.64,1900006518621,5530,134924100000,1,1,"SAVIER ST                                                                         ",2,19.64,1,100,19,1900,414,41400,50.8,"ENGINEER RWY ENGINEER                                                                                 "
1900,190001,651862,19.64,1900006518621,5530,134924100000,1,1,"SAVIER ST                                                                         ",3,19.64,1,100,19,1900,414,41400,18.4,"FARM LABORER                                                                                          "
1900,190001,651862,19.64,1900006518621,5530,134924100000,1,1,"SAVIER ST                                                                         ",4,19.64,1,100,17,1700,17,1700,18.9,"SERVANT                                                                                               "
1900,190001,651862,19.64,1900006518621,5530,134924100000,1,1,"SAVIER ST                                                                         ",5,19.64,1,100,39,3900,39,3900,50.3,"SUPT CLAY MFG CO                                                                                      "
1900,190001,651862,19.64,1900006518621,5530,134924100000,1,1,"SAVIER ST                                                                         ",6,19.64,1,100,400,40000,400,40000,0.0,"                                                                                                      "
1900,190001,651863,19.64,1900006518631,5530,134924100000,1,1,"LADD ST                                                                           ",1,19.64,1,100,453,45300,453,45300,18.4,"LABORER FARM                                                                                          "
1900,190001,651863,19.64,1900006518631,5530,134924100000,1,1,"LADD ST                                                                           ",2,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651863,19.64,1900006518631,5530,134924100000,1,1,"LADD ST                                                                           ",3,19.64,1,100,405,40500,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651863,19.64,1900006518631,5530,134924100000,1,1,"LADD ST                                                                           ",4,19.64,1,100,405,40500,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651863,19.64,1900006518631,5530,134924100000,1,1,"LADD ST                                                                           ",5,19.64,1,100,405,40500,453,45300,0.0,"                                                                                                      "
1900,190001,651863,19.64,1900006518631,5530,134924100000,1,1,"LADD ST                                                                           ",6,19.64,1,100,405,40500,453,45300,0.0,"                                                                                                      "
1900,190001,651863,19.64,1900006518631,5530,134924100000,1,1,"LADD ST                                                                           ",7,19.64,1,100,39,3900,39,3900,17.5,"LABORER SAW MILLS                                                                                     "
1900,190001,651864,19.64,1900006518641,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",1,19.64,1,100,453,45300,453,45300,30.2,"FISHERMAN                                                                                             "
1900,190001,651864,19.64,1900006518641,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",2,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651864,19.64,1900006518641,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",3,19.64,1,100,405,40500,453,45300,0.0,"                                                                                                      "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",1,19.64,1,100,453,45300,453,45300,30.2,"FISHERMAN                                                                                             "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",2,19.64,1,100,453,45300,453,45300,0.0,"                                                                                                      "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",3,19.64,1,100,453,45300,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",4,19.64,1,100,453,45300,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",5,19.64,1,100,453,45300,453,45300,0.0,"                                                                                                      "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",6,19.64,1,100,453,45300,453,45300,0.0,"                                                                                                      "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",7,19.64,1,100,453,45300,453,45300,0.0,"                                                                                                      "
1900,190001,651865,19.64,1900006518651,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",8,19.64,1,100,453,45300,453,45300,0.0,"                                                                                                      "
1900,190001,651866,19.64,1900006518661,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",1,19.64,1,100,405,40500,405,40500,30.2,"FISHERMAN                                                                                             "
1900,190001,651866,19.64,1900006518661,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",2,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651866,19.64,1900006518661,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",3,19.64,1,100,405,40500,405,40500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651866,19.64,1900006518661,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",4,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651866,19.64,1900006518661,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",5,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651866,19.64,1900006518661,5530,134924100000,1,1,"SCOW DWELLERS WILLAMETTE BANKS                                                    ",6,19.64,1,100,405,40500,405,40500,0.0,"                                                                                                      "
1900,190001,651867,19.64,1900006518671,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",1,19.64,1,100,29,2900,29,2900,30.2,"FISHERMAN                                                                                             "
1900,190001,651867,19.64,1900006518671,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",2,19.64,1,100,414,41400,414,41400,30.2,"FISHERMAN                                                                                             "
1900,190001,651867,19.64,1900006518671,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",3,19.64,1,100,414,41400,414,41400,30.2,"FISHERMAN                                                                                             "
1900,190001,651867,19.64,1900006518671,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",4,19.64,1,100,414,41400,414,41400,36.8,"BOATMAN                                                                                               "
1900,190001,651868,19.64,1900006518681,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",1,19.64,1,100,465,46500,465,46500,30.2,"FISHERMAN                                                                                             "
1900,190001,651868,19.64,1900006518681,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",2,19.64,1,100,36,3600,465,46500,0.0,"                                                                                                      "
1900,190001,651868,19.64,1900006518681,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",3,19.64,1,100,36,3600,465,46500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651868,19.64,1900006518681,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",4,19.64,1,100,36,3600,465,46500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651868,19.64,1900006518681,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",5,19.64,1,100,36,3600,465,46500,0.0,"AT SCHOOL                                                                                             "
1900,190001,651868,19.64,1900006518681,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",6,19.64,1,100,36,3600,465,46500,0.0,"                                                                                                      "
